index,value
11,november 1947 new prototypes ak-47s completed long-stroke gas piston barrel upper lower receivers combined single receiver selector safety combined single control-lever/dust-cover right rifle bolt-handle simply attached bolt-carrier simplified design production rifle army trial series began early 1948 34 new rifle proved reliable wide range conditions convenient handling characteristics 1949 adopted soviet army 7.62 mm kalashnikov rifle ak 9
12,difficulties initial phase production production models stamped sheet metal receivers milled trunnion butt stock insert stamped body difficulties encountered welding guide ejector rails causing high rejection rates 35 instead halting production heavy n 1 machined receiver substituted sheet metal receiver production milled rifles started 1951 officially referred ak-49 based date development started widely known collectors current commercial market type 2 ak-47 36 37 costly process use machined receivers accelerated production tooling labor earlier mosin–nagant rifle machined receiver easily adapted 38 partly problems soviets not able distribute large numbers new rifle soldiers 1956 time production interim sks rifle continued 35
13,manufacturing difficulties non-milled receivers overcome redesigned version designated akm m modernized upgraded russian автомат калашникова модернизированный avtomat kalashnikova modernizirovanniy introduced 1959 36 new model stamped sheet metal receiver featured slanted muzzle brake end barrel compensate muzzle rise recoil addition hammer retarder added prevent weapon firing battery without bolt fully closed rapid fully automatic fire 35 referred cyclic rate reducer simply rate reducer effect reducing number rounds fired minute fully automatic fire roughly one-third lighter previous model 36
14,licensed unlicensed production kalashnikov weapons abroad exclusively akm variant partially easier production stamped receiver model commonly encountered having produced greater quantities rifles based kalashnikov design frequently referred ak-47s west correct applied rifles based original receiver types 39 eastern bloc countries weapon known simply kalashnikov ak differences milled stamped receivers includes use rivets welds stamped receiver placement small dimple magazine stabilization magazine
15,1974 soviets began replacing ak-47 akm rifles newer design ak-74 uses 5.45×39mm ammunition new rifle cartridge started manufactured eastern european nations soviet union collapsed drastically slowing production ak-74 weapons soviet bloc
16,ak-47 designed simple reliable fully automatic rifle manufactured quickly cheaply mass production methods state art soviet union late 1940s 40 ak-47 uses long stroke gas system generally associated great reliability adverse conditions 28 41 42 large gas piston generous clearances moving parts tapered cartridge case design allow gun endure large amounts foreign matter fouling without failing cycle
17,"ak fires 7.62×39mm cartridge muzzle velocity 715 m/s 2,350 ft/s 8 cartridge weight 16.3 g 0.6 oz projectile weight 7.9 g 122 gr 43 original soviet m43 bullets 123 grain boat-tail bullets copper-plated steel jacket large steel core lead core jacket ak excellent penetration shooting heavy foliage walls common vehicle metal body opponent attempting use things cover 7.62×39mm m43 projectile not generally fragment striking opponent unusual tendency remain intact making contact bone 7.62×39mm round produces significant wounding cases bullet tumbles yaws tissue 44 produces relatively minor wounds cases bullet exits beginning yaw 45 46 47 absence yaw m43 round pencil tissue relatively little injury 45 48"
18,not 7.62×39mm ammunition found today upgraded m67 variety variety deleted steel insert shifting center gravity rearward allowing projectile destabilize yaw 3.3 8.4 cm nearly 6.7 17 cm earlier tissue m43 round 49 change reduces penetration ballistic gelatin 64 cm newer m67 round versus 74 cm older m43 round 49 50 wounding potential m67 limited small permanent wound channel bullet makes especially bullet yaws 49
19,fire operator inserts loaded magazine pulls releases charging handle pulls trigger semi-automatic firearm fires requiring trigger released depressed shot fully automatic rifle continues fire automatically cycling fresh rounds chamber magazine exhausted pressure released trigger ignition cartridge primer propellant rapidly expanding propellant gases diverted gas cylinder barrel vent near muzzle build-up gases inside gas cylinder drives long-stroke piston bolt carrier rearward cam guide machined underside bolt carrier ejector spur bolt carrier rail guide rotates bolt approximately 35° unlocks barrel extension camming pin bolt moving assembly 5.5 mm 0.2 free travel creates delay initial recoil impulse piston bolt unlocking sequence allowing gas pressures drop safe level seal chamber bolt broken ak-47 not gas valve excess gases ventilated series radial ports gas cylinder kalashnikov operating system offers no primary extraction bolt rotation uses extractor claw eject spent cartridge case 51
20,rifle received barrel chrome-lined bore right-hand grooves 240 mm 1 9.45 31.5 calibers rifling twist rate gas block contains gas channel installed slanted angle relation bore axis muzzle threaded installation muzzle devices muzzle brake blank-firing adaptor
21,gas block ak-47 features cleaning rod capture sling loop gas relief ports alleviate gas pressure placed horizontally row gas cylinder
22,fire selector large lever located right rifle acts dust-cover prevents charging handle pulled fully rear safe 52 operated shooter right fore-fingers 3 settings safe full-auto center semi-auto 52 reason stress soldier push selector lever considerable force bypassing full-auto stage setting rifle semi-auto 52 set ak-47 full-auto requires deliberate action centering selector lever 52 operate fire selector lever right handed shooters briefly remove right hand pistol grip ergonomically sub-optimal ak-type rifles traditional selector lever left receiver pistol grip 52 lever operated shooter right thumb settings safe forward full-auto center semi-auto backward 52
23,ak-47 uses notched rear tangent iron sight calibrated 100 m 109 yd increments 100 800 m 109 875 yd 53 sight post adjustable elevation field horizontal adjustment requires special drift tool armory issue need arises armorer issue sight line elements approximately 48.5 mm 1.9 bore axis point-blank range battle zero setting п standing постоянная constant 7.62×39mm ak-47 rear tangent sight element corresponds 300 m 328 yd zero 53 54 settings mirror mosin–nagant sks rifles ak-47 replaced ak-47 combined service cartridges 300 m battle zero setting limits apparent bullet rise approximately cm 12.2 relative line sight soldiers instructed fire target range simply placing sights center mass belt buckle according russian soviet doctrine enemy target errors range estimation tactically irrelevant well-aimed shot hit torso enemy soldier ak-type rifles sight flip-up luminous dot calibrated 50 m 55 yd improved night fighting 53
24,ak-47 originally equipped buttstock handguard upper heat guard solid wood introduction type 3 receiver buttstock lower handguard upper heatguard manufactured birch plywood laminates 38 engineered woods stronger resist warping better conventional one-piece patterns not require lengthy maturing cheaper wooden furniture finished russian amber shellac finishing process citation needed aks akms models featured downward-folding metal butt-stock similar german mp40 submachine-gun use restricted space bmp infantry combat vehicle paratroops 100 series aks use plastic furniture side-folding stocks
25,standard magazine capacity 30 rounds 10 20 40-round box magazines 75-round drum magazines
26,ak-47 standard 30-round magazines pronounced curve allows smoothly feed ammunition chamber heavy steel construction combined feed-lips surfaces magazine control angle cartridge enters chamber machined single steel billet makes highly resistant damage magazines strong soldiers known use mags hammers bottle openers 55 56 contributes ak-47 magazine reliable makes heavier u.s. nato magazines
27,early slab-sided steel ak-47 30-round detachable box magazines 1 mm 0.039 sheet-metal bodies weighed 0.43 kg 0.95 lb 42 later steel akm 30-round magazines lighter sheet-metal bodies prominent reinforcing ribs weighing 0.33 kg 0.73 lb 42 57 reduce weight lightweight magazine aluminum body prominent reinforcing waffle rib pattern weighing 0.19 kg 0.42 lb developed akm proved fragile small issued magazines quickly withdrawn service 58 replacement steel-reinforced 30-round plastic 7.62×39mm box magazines introduced rust-colored magazines weigh 0.24 kg 0.53 lb mistakenly identified bakelite phenolic resin actually fabricated two-parts ag-s4 molding compound glass-reinforced phenol-formaldehyde binder impregnated composite assembled epoxy resin adhesive 59 60 61 noted durability magazines compromise rifle camouflage lacked small horizontal reinforcing ribs running sides magazine body near added later plastic magazine generations 61 second generation steel-reinforced dark-brown color shades vary maroon plum near black 30-round 7.62×39mm magazine introduced early 1980s fabricated abs plastic third generation steel-reinforced 30-round 7.62×39mm magazine similar second generation darker colored matte nonreflective surface finish current issue steel-reinforced matte true black nonreflective surface finished 7.62×39mm 30-round magazines fabricated abs plastic weigh 0.25 kg 0.55 lb 8
28,early steel ak-47 magazines 9.75 248 mm long later ribbed steel akm newer plastic 7.62×39mm magazines 1 25 mm shorter 62 63
29,transition steel mainly plastic magazines yields significant weight reduction allows soldier carry ammunition weight
30,7.62×39mm ak magazines backwards compatible older ak variants
31,10.12 kg 22.3 lb maximum ammo average soldier comfortably carry allows best comparison common 7.62×39mm ak magazines citation needed
32,yugoslavian east german ak magazines cartridge followers hold bolt open ak magazine followers allow bolt close magazine citation needed
33,accessories supplied rifle include 387 mm 15.2 long 6h3 bayonet featuring 200 mm 7.9 long spear point blade ak-47 bayonet installed slipping 17.7 mm 0.70 diameter muzzle ring muzzle latching handle bayonet lug sight base 64
34,current model akm rifles mount under-barrel 40 mm grenade launchers gp-25 variants fire 20 rounds minute effective range 400 metres 65 main grenade vog-25 vog-25m fragmentation grenade 6 m 9 m 20 ft 30 ft lethality radius vog-25p/vog-25pm jumping variant explodes 0.5–1 metre 1.6–3.3 ft ground 66
35,ak-47 mount rarely cup-type grenade launcher kalashnikov grenade launcher fires standard rgd-5 soviet hand-grenades maximum effective range approximately 150 meters 67 launcher launch tear-gas riot control grenades
36,current aks 100 series older models rails mounting variety scopes sighting devices pso-1 optical sniper sight 68 rails allow removal remounting optical accessories without interfering zeroing optic 100 series folding stocks not folded optics mounted
37,"ak-47 variants dozens countries quality ranging finely engineered weapons pieces questionable workmanship 69 result ak-47 service/system life approximately 6,000 70 10,000 71 15,000 72 rounds ak-47 designed cheap simple easy manufacture rifle 73 perfectly matching soviet military doctrine treats equipment weapons disposable items 74 units deployed without adequate logistical support dependent battlefield cannibalization resupply actually cost-effective replace repair weapons 74"
38,ak-47 small parts springs need replaced thousand rounds time disassembled field stripping stage time parts regain fit parts tend shake loose fall firing weapon parts ak-47 line riveted repairing hassle end rivet ground off new set replaced 53
39,developed ak models kalashnikov rifles
40,manufacturing countries ak-47 variants alphabetical order
41,private company kalashnikov concern izhmash russia repeatedly claimed majority foreign manufacturers producing ak-type rifles without proper licensing 96 97
42,ak-47 accuracy considered good hit adult male torso 300 m 328 yd 98 99 experts firing prone bench rest positions range observed difficulty placing ten consecutive rounds target 100 later designs not significantly improve accuracy 100 ak fire 10-shot group 5.9 15 cm 100 m 109 yd 101 17.5 44 cm 300 m 328 yd 100 newer stamped-steel receiver akm models rugged less prone metal fatigue actually less accurate forged/milled receivers predecessors milled ak-47s capable shooting 3 5 8 13 cm groups 100 yd 91 m stamped akms capable shooting 4 6 10 15 cm groups 100 yd 91 m 99
43,best shooters able hit man-sized target 800 m 875 yd five shots firing prone bench rest position ten shots standing 102
44,single-shot hit-probability nato e-type silhouette target human upper body half head silhouette ak-47 later developed ak-74 m16a1 m16a2 rifles measured military ideal proving ground conditions 1980s follows
45,worst field exercise circumstances hit probabilities tested rifles drastically reduced 34 50m 3–4 600m no significant differences weapons range 103
46,following table represents russian method determining accuracy far complex western methods west fires group shots target simply measures overall diameter group russians hand fire group shots target draw two circles target maximum vertical dispersion hits maximum horizontal dispersion hits disregard hits outer target count half hits 50 r50 inner circles dramatically reduces overall diameter groups use vertical horizontal measurements reduced groups measure accuracy circular error probable method russians european militaries not converted not comparable military methods determining rifle accuracy r50 results doubled hit probability increases 93.7
47,vertical horizontal mean r50 deviations service ammunition 800 m 875 yd ak platforms
48,"world ak variants commonly governments revolutionaries terrorists criminals civilians alike countries somalia rwanda mozambique congo tanzania prices black market aks 30 125 weapon prices fallen decades mass counterfeiting 133 kenya ak-47 fetches five head cattle 10,000 kenya shillings 100 u.s. dollars offered barter costs half price cash paid 134 places world ak type weapons purchased black market little 6 traded chicken sack grain 135 136 137"
49,ak-47 spawned cottage industry sorts copied manufactured gun time small shops world khyber pass copy 138 139 estimated numbers ak-type weapons vary greatly small arms survey suggest 70 100 million weapons produced 1947 140 world bank estimates 500 million total firearms available worldwide 100 million kalashnikov family 75 million ak-47s 4 ak-type weapons countries illicitly impossible know exist 141
50,ak-47 following conflicts
51,basically anti-western cachet know man terrorist man freedom fighter sort think oh boy got little bit che guevara accounts popularity ak 47 weapon plus think united states considered counterculture citizens country kind like kind sticking finger eye man
52,larry kahaner author ak-47 weapon changed face war 152
53,cold war soviet union people republic china united states nato nations supplied arms technical knowledge numerous countries rebel forces world time western countries relatively expensive automatic rifles fn fal hk g3 m14 m16 contrast russians chinese ak-47 low production cost ease manufacture allow aks vast numbers
54,pro-communist states ak-47 symbol third world revolution utilized cambodian civil war cambodian–vietnamese war 153 1980s soviet union principal arms dealer countries embargoed western nations including middle eastern nations libya syria welcomed soviet union backing israel fall soviet union ak-47s sold openly black market group cash including drug cartels dictatorial states recently seen hands islamic groups al-qaeda isil taliban afghanistan iraq farc ejército de liberación nacional guerrillas colombia 152
55,russia kalashnikov tremendous source national pride 154 family inventor world famous rifle mikhail kalashnikov authorized german engineering company mmi use well-known kalashnikov variety not-so-deadly goods 155 recent years kalashnikov vodka marketed souvenir bottles shape ak-47 kalashnikov 156 157 kalashnikov watches 158 umbrellas 159 knives 160 161
56,"kalashnikov museum called ak-47 museum opened 4 november 2004 izhevsk udmurt republic city ural region russia museum chronicles biography general kalashnikov documents invention ak-47 museum complex kalashnikov small arms series halls multimedia exhibitions devoted evolution ak-47 rifle attracts 10,000 monthly visitors 162 nadezhda vechtomova museum director stated interview purpose museum honor ingenuity inventor hard work employees separate weapon weapon murder people producing tell history country"
57,19 september 2017 9 metres 30 ft monument kalashnikov unveiled central moscow protester later detained police attempted unfurl banner reading creator weapons creator death 163
58,proliferation weapon reflected numbers ak-47 included flag mozambique emblem acknowledgment country gained independence large effective use ak-47s 164 found coats arms east timor zimbabwe revolution era burkina faso flags hezbollah syrian resistance farc-ep new people army tkp/tikko international revolutionary people guerrilla forces
59,u.s. western europe countries frequently associate ak-47 enemies cold war era present-day example western works fiction movies television novels video games portray criminals gang members insurgents terrorists ak-47s weapon choice conversely developing world ak-47 positively attributed revolutionaries foreign occupation imperialism colonialism numerous fictional depictions soviet/russian armed forces duty modern warfare armed 7.62×39mm ak variants ak-47 akm standard-issue rifles long-standing anachronism thanks ak-47 iconic status despite soviets having actually replaced 5.45×39mm ak-74 1970s movies video games pass off licensed clones like norinco type 56 rifle ak-47 152
60,ireland ak-47 associated troubles extensive use republican paramilitaries period 165 2013 decommissioned ak-47 included history ireland 100 objects collection 166
61,ak-47 appearance u.s. popular culture recurring focus nicolas cage film lord war 2005 numerous monologues movie focus weapon effects global conflict gun running market 167
62,iraq afghanistan private military company contractors u.k. countries ak-47 variants western firearms ar-15 168
63,"2006 colombian musician peace activist césar lópez devised escopetarra ak converted guitar sold 17,000 fundraiser held benefit victims anti-personnel mines exhibited united nations conference disarmament 169"
64,mexico ak-47 known cuerno de chivo literally goat horn curved magazine design weapons choice mexican drug cartels mentioned mexican folk music lyrics 170
65,map current ak users
66,ak-47 type 1 2 display type 1 features stamped receiver type 2 receiver milled
67,u.s. army m.p inspects chinese ak-47 recovered vietnam 1968
68,ak-47s paigc-liberation movement ready transported senegal guinea-bissau 1973
69,soviet spetsnaz special operations group prepares mission afghanistan 1988
70,soviet–afghan war 1980s sources simultaneously armed sides afghan conflict filling country ak-47s derivatives 171
