index,value
11,in spanish and portuguese hache in spanish pronounced or agá in portuguese pronounced aˈɣa or ɐˈɡa is a silent letter with no pronunciation as in hijo ˈixo and húngaro ˈũɡaɾu the spelling reflects an earlier pronunciation of the sound in words where the is derived from a latin it is still sometimes pronounced with the value h in some regions of andalusia extremadura canarias cantabria and the americas some words beginning with je or we such as hielo and huevo were given an initial to avoid confusion between their initial semivowels and the consonants and this is because and used to be considered variants of and respectively also appears in the digraph which represents in spanish and northern portugal and in varieties that have merged both sounds the latter originally represented by instead such as most of the portuguese language and some spanish dialects prominently chilean spanish
12,in french the name of the letter is written as ache and pronounced the french orthography classifies words that begin with this letter in two ways one of which can affect the pronunciation even though it is a silent letter either way the h muet or mute is considered as though the letter were not there at all so for example the singular definite article le or la which is elided to l before a vowel elides before an h muet followed by a vowel for example le hébergement becomes l'hébergement accommodation the other kind of is called h aspiré aspirated though it is not normally aspirated phonetically and does not allow elision or liaison for example in le homard lobster the article le remains unelided and may be separated from the noun with a bit of a glottal stop most words that begin with an h muet come from latin honneur homme or from greek through latin hécatombe whereas most words beginning with an h aspiré come from germanic harpe hareng or non-indo-european languages harem hamac haricot in some cases an orthographic was added to disambiguate the v and semivowel ɥ pronunciations before the introduction of the distinction between the letters and huit from uit ultimately from latin octo huître from uistre ultimately from greek through latin ostrea
13,in italian has no phonological value its most important uses are in the digraphs and as well as to differentiate the spellings of certain short words that are homophones for example some present tense forms of the verb avere have such as hanno have vs. anno and in short interjections oh ehi
14,some languages including czech slovak hungarian finnish and estonian use as a breathy voiced glottal fricative ɦ often as an allophone of otherwise voiceless in a voiced environment
15,in hungarian the letter has no fewer than five pronunciations with three additional uses as a productive and non-productive element of digraphs the letter h may represent as in the name of the székely town hargita intervocalically it represents as in tehén it represents in the word doh it represents in ihlet and it is silent in cseh as part of a digraph it represents in archaic spelling with the letter c as in the name széchenyi it represents again with the letter c in pech which is pronounced pɛxː in certain environments it breaks palatalization of a consonant as in the name beöthy which is pronounced bøːti without the intervening h the name beöty could be pronounced bøːc and finally it acts as a silent component of a digraph as in the name vargha pronounced vɒrgɒ
16,in ukrainian and belarusian when written in the latin alphabet is also commonly used for which is otherwise written with the cyrillic letter
17,in irish is not considered an independent letter except for a very few non-native words however placed after a consonant is known as a séimhiú and indicates lenition of that consonant began to replace the original form of a séimhiú a dot placed above the consonant after the introduction of typewriters
18,in most dialects of polish both and the digraph always represent
19,in basque during the 20th century it was not used in the orthography of the basque dialects in spain but it marked an aspiration in the north-eastern dialects during the standardization of basque in the 1970s the compromise was reached that h would be accepted if it were the first consonant in a syllable hence herri people and etorri to come were accepted instead of erri biscayan and ethorri souletin speakers could pronounce the h or not for the dialects lacking the aspiration this meant a complication added to the standardized spelling
20,as a phonetic symbol in the international phonetic alphabet ipa it is used mainly for the so-called aspirations fricative or trills and variations of the plain letter are used to represent two sounds the lowercase form represents the voiceless glottal fricative and the small capital form represents the voiceless epiglottal fricative or trill with a bar minuscule is used for a voiceless pharyngeal fricative specific to the ipa a hooked is used for a voiced glottal fricative and a superscript is used to represent aspiration
21,1 and all encodings based on ascii including the dos windows iso-8859 and macintosh families of encodings
