index,value
16,ak-47 design simple reliable fully automatic rifle manufacture quickly cheaply mass production method state art soviet union late 1940 40 ak-47 use long stroke gas system generally associate great reliability adverse condition 28 41 42 large gas piston generous clearance move part taper cartridge case design allow gun endure large amount foreign matter foul fail cycle
17,"ak fire 7.62×39 mm cartridge muzzle velocity 715 m s 2,350 ft s 8 cartridge weight 16.3 g 0.6 oz projectile weight 7.9 122 gr 43 original soviet m43 bullet 123 grain boat tail bullet copper plate steel jacket large steel core lead core jacket excellent penetration shoot heavy foliage wall common vehicle metal body opponent attempt use thing cover 7.62×39 mm m43 projectile generally fragment striking opponent unusual tendency remain intact make contact bone 7.62×39 mm round produce significant wounding case bullet tumble yaw tissue 44 produce relatively minor wound case bullet exit begin yaw 45 46 47 absence yaw m43 round pencil tissue relatively little injury 45 48"
18,7.62×39 mm ammunition find today upgrade m67 variety variety delete steel insert shift center gravity rearward allow projectile destabilize yaw 3.3 8.4 cm nearly 6.7 17 cm early tissue m43 round 49 change reduce penetration ballistic gelatin 64 cm new m67 round 74 cm old m43 round 49 50 wounding potential m67 limited small permanent wound channel bullet make especially bullet yaw 49
19,fire operator insert loaded magazine pull release charge handle pull trigger semi - automatic firearm fire require trigger release depressed shot fully automatic rifle continue fire automatically cycle fresh round chamber magazine exhausted pressure release trigger ignition cartridge primer propellant rapidly expand propellant gas divert gas cylinder barrel vent muzzle build gas gas cylinder drive long stroke piston bolt carrier rearward cam guide machine underside bolt carrier ejector spur bolt carrier rail guide rotate bolt approximately 35 ° unlock barrel extension camme pin bolt move assembly 5.5 mm 0.2 free travel create delay initial recoil impulse piston bolt unlock sequence allow gas pressure drop safe level seal chamber bolt break ak-47 gas valve excess gas ventilated series radial port gas cylinder kalashnikov operating system offer primary extraction bolt rotation use extractor claw eject spend cartridge case 51
20,rifle receive barrel chrome line bore right hand groove 240 mm 1 9.45 31.5 caliber rifle twist rate gas block contain gas channel instal slanted angle relation bore axis muzzle thread installation muzzle device muzzle brake blank fire adaptor
21,gas block ak-47 feature clean rod capture sle loop gas relief port alleviate gas pressure place horizontally row gas cylinder
22,fire selector large lever locate right rifle act dust cover prevent charge handle pull fully rear safe 52 operate shooter right fore finger 3 setting safe full auto center semi - auto 52 reason stress soldier push selector lever considerable force bypass full auto stage set rifle semi - auto 52 set ak-47 full auto require deliberate action center selector lever 52 operate fire selector lever right handed shooter briefly remove right hand pistol grip ergonomically sub - optimal ak type rifle traditional selector lever leave receiver pistol grip 52 lever operate shooter right thumb setting safe full auto center semi - auto backward 52
23,ak-47 use notch rear tangent iron sight calibrate 100 109 yd increment 100 800 m 109 875 yd 53 sight post adjustable elevation field horizontal adjustment require special drift tool armory issue need arise armorer issue sight line element approximately 48.5 mm 1.9 bore axis point blank range battle zero set п stand постоянная constant 7.62×39 mm ak-47 rear tangent sight element correspond 300 328 yd zero 53 54 setting mirror mosin nagant sk rifle ak-47 replace ak-47 combined service cartridge 300 m battle zero set limit apparent bullet rise approximately cm 12.2 relative line sight soldier instruct fire target range simply place sights center mass belt buckle accord russian soviet doctrine enemy target error range estimation tactically irrelevant well aim shot hit torso enemy soldier ak type rifle sight flip luminous dot calibrate 50 m 55 yd improve night fight 53
24,ak-47 originally equip buttstock handguard upper heat guard solid wood introduction type 3 receiver buttstock low handguard upper heatguard manufacture birch plywood laminate 38 engineer wood strong resist warp well conventional one piece pattern require lengthy mature cheap wooden furniture finish russian amber shellac finishing process citation need ak akms model feature downward fold metal butt stock similar german mp40 submachine gun use restrict space bmp infantry combat vehicle paratroop 100 series ak use plastic furniture side fold stock
25,standard magazine capacity 30 round 10 20 40 round box magazine 75 round drum magazine
26,ak-47 standard 30 round magazine pronounced curve allow smoothly feed ammunition chamber heavy steel construction combine feed lip surface magazine control angle cartridge enter chamber machine single steel billet make highly resistant damage magazine strong soldier know use mag hammer bottle opener 55 56 contribute ak-47 magazine reliable make heavy u.s . nato magazine
27,early slab side steel ak-47 30 round detachable box magazine 1 mm 0.039 sheet metal body weigh 0.43 kg 0.95 lb 42 late steel akm 30 round magazine light sheet metal body prominent reinforce rib weigh 0.33 kg 0.73 lb 42 57 reduce weight lightweight magazine aluminum body prominent reinforce waffle rib pattern weigh 0.19 kg 0.42 lb develop akm prove fragile small issue magazine quickly withdraw service 58 replacement steel reinforce 30 round plastic 7.62×39 mm box magazine introduce rust color magazine weigh 0.24 kg 0.53 lb mistakenly identify bakelite phenolic resin actually fabricate two part ag s4 molding compound glass reinforce phenol formaldehyde binder impregnate composite assemble epoxy resin adhesive 59 60 61 note durability magazine compromise rifle camouflage lack small horizontal reinforce rib run side magazine body add late plastic magazine generation 61 second generation steel reinforce dark brown color shade vary maroon plum black 30 round 7.62×39 mm magazine introduce early 1980 fabricate ab plastic third generation steel reinforce 30 round 7.62×39 mm magazine similar second generation darker color matte nonreflective surface finish current issue steel reinforce matte true black nonreflective surface finish 7.62×39 mm 30 round magazine fabricate ab plastic weigh 0.25 kg 0.55 8
28,early steel ak-47 magazines 9.75 248 mm long later rib steel akm new plastic 7.62×39 mm magazine 1 25 mm short 62 63
29,transition steel mainly plastic magazine yield significant weight reduction allow soldier carry ammunition weight
30,7.62×39 mm ak magazine backwards compatible old ak variant
31,10.12 kg 22.3 lb maximum ammo average soldier comfortably carry allow good comparison common 7.62×39 mm ak magazines citation need
32,yugoslavian east german ak magazines cartridge follower hold bolt open ak magazine follower allow bolt close magazine citation need
33,accessory supply rifle include 387 mm 15.2 long 6h3 bayonet feature 200 mm 7.9 long spear point blade ak-47 bayonet instal slip 17.7 mm 0.70 diameter muzzle ring muzzle latch handle bayonet lug sight base 64
34,current model akm rifles mount under barrel 40 mm grenade launcher gp-25 variant fire 20 round minute effective range 400 metre 65 main grenade vog-25 m fragmentation grenade 6 m 9 20 30 ft lethality radius vog-25p jump variant explode 0.5–1 metre 1.6–3.3 ft ground 66
35,ak-47 mount rarely cup type grenade launcher kalashnikov grenade launcher fire standard soviet hand grenade maximum effective range approximately 150 meter 67 launcher launch tear gas riot control grenade
36,current ak 100 serie old model rail mount variety scope sight device optical sniper sight 68 rail allow removal remount optical accessory interfere zero optic 100 serie fold stock fold optic mount
37,"ak-47 variants dozens country quality range finely engineer weapon piece questionable workmanship 69 result ak-47 service system life approximately 6,000 70 10,000 71 15,000 72 round ak-47 design cheap simple easy manufacture rifle 73 perfectly match soviet military doctrine treat equipment weapon disposable item 74 unit deploy adequate logistical support dependent battlefield cannibalization resupply actually cost effective replace repair weapon 74"
38,ak-47 small part spring replace thousand round time disassemble field strip stage time part regain fit part tend shake loose fall fire weapon part ak-47 line rivet repair hassle end rivet grind new set replace 53
39,develop ak model kalashnikov rifle
40,manufacture country ak-47 variant alphabetical order
41,private company kalashnikov concern izhmash russia repeatedly claim majority foreign manufacturer produce ak type rifle proper licensing 96 97
42,ak-47 accuracy consider good hit adult male torso 300 m 328 yd 98 99 expert fire prone bench rest position range observed difficulty place ten consecutive round target 100 later design significantly improve accuracy 100 ak fire 10 shot group 5.9 15 cm 100 m 109 yd 101 17.5 44 cm 300 m 328 yd 100 new stamp steel receiver akm model rugge less prone metal fatigue actually less accurate forge mill receiver predecessor mill ak-47 capable shooting 3 5 8 13 cm group 100 yd 91 stamp akms capable shooting 4 6 10 15 cm group 100 yd 91 m 99
43,good shooter able hit man sized target 800 m 875 yd five shot fire prone bench rest position ten shot stand 102
44,single shot hit probability nato e - type silhouette target human upper body half head silhouette ak-47 later develop m16a1 m16a2 rifle measure military ideal prove ground condition 1980s follow
45,bad field exercise circumstance hit probability test rifle drastically reduce 34 50 m 3–4 600 m significant difference weapon range 103
46,follow table represent russian method determine accuracy far complex western method west fire group shot target simply measure overall diameter group russians hand fire group shot target draw two circle target maximum vertical dispersion hit maximum horizontal dispersion hit disregard hit outer target count half hit 50 r50 inner circle dramatically reduce overall diameter group use vertical horizontal measurement reduce group measure accuracy circular error probable method russian european military convert comparable military method determine rifle accuracy r50 result double hit probability increase 93.7
47,vertical horizontal mean r50 deviation service ammunition 800 m 875 yd ak platform
48,"world ak variant commonly government revolutionary terrorist criminal civilian alike countries somalia rwanda mozambique congo tanzania price black market ak 30 125 weapon price fall decade mass counterfeit 133 kenya ak-47 fetch five head cattle 10,000 kenya shilling 100 u.s . dollar offer barter cost price cash pay 134 place world ak type weapon purchase black market little 6 trade chicken sack grain 135 136 137"
49,ak-47 spawn cottage industry sort copy manufactured gun time small shop world khyber pass copy 138 139 estimate number ak type weapon vary greatly small arm survey suggest 70 100 million weapon produce 1947 140 world bank estimate 500 million total firearm available worldwide 100 million kalashnikov family 75 million ak-47 4 ak type weapon country illicitly impossible know exist 141
50,ak-47 follow conflict
51,basically anti - western cachet know man terrorist man freedom fighter sort think oh boy get little bit che guevara account popularity 47 weapon think united states consider counterculture citizen country kind like kind stick finger eye man
52,larry kahaner author ak-47 weapon change face war 152
53,cold war soviet union people republic china united states nato nation supply arm technical knowledge numerous country rebel force world time western country relatively expensive automatic rifle fn fal hk g3 m14 m16 contrast russian chinese ak-47 low production cost ease manufacture allow ak vast number
54,pro - communist state ak-47 symbol third world revolution utilize cambodian civil war cambodian vietnamese war 153 1980 soviet union principal arm dealer country embargo western nation include middle eastern nations libya syria welcome soviet union back israel fall soviet union ak-47 sell openly black market group cash include drug cartel dictatorial state recently see hand islamic group al qaeda isil taliban afghanistan iraq farc ejército de liberación nacional guerrilla colombia 152
55,russia kalashnikov tremendous source national pride 154 family inventor world famous rifle mikhail kalashnikov authorize german engineering company mmi use well know kalashnikov variety so deadly good 155 recent year kalashnikov vodka market souvenir bottle shape ak-47 kalashnikov 156 157 kalashnikov watch 158 umbrella 159 knife 160 161
56,"kalashnikov museum call ak-47 museum open 4 november 2004 izhevsk udmurt republic city ural region russia museum chronicle biography general kalashnikov document invention ak-47 museum complex kalashnikov small arm series hall multimedia exhibition devote evolution ak-47 rifle attract 10,000 monthly visitor 162 nadezhda vechtomova museum director state interview purpose museum honor ingenuity inventor hard work employee separate weapon weapon murder people produce tell history country"
57,19 september 2017 9 metre 30 ft monument kalashnikov unveil central moscow protester later detain police attempt unfurl banner read creator weapon creator death 163
58,proliferation weapon reflect number ak-47 include flag mozambique emblem acknowledgment country gain independence large effective use ak-47 164 find coat arms east timor zimbabwe revolution era burkina faso flag hezbollah syrian resistance farc ep new people army tkp tikko international revolutionary people guerrilla force
59,u.s . western europe country frequently associate ak-47 enemy cold war era present day example western work fiction movie television novel video game portray criminal gang member insurgent terrorist ak-47s weapon choice conversely develop world ak-47 positively attribute revolutionary foreign occupation imperialism colonialism numerous fictional depiction soviet russian armed force duty modern warfare armed 7.62×39 mm ak variants ak-47 akm standard issue rifle long stand anachronism thank ak-47 iconic status soviet actually replace 5.45×39 mm 1970 movie video game pass licensed clone norinco type 56 rifle 152
60,ireland ak-47 associated trouble extensive use republican paramilitary period 165 2013 decommission ak-47 include history ireland 100 object collection 166
61,ak-47 appearance u.s . popular culture recur focus nicolas cage film lord war 2005 numerous monologue movie focus weapon effect global conflict gun run market 167
62,iraq afghanistan private military company contractor u.k . country ak-47 variant western firearm ar-15 168
63,"2006 colombian musician peace activist césar lópez devise escopetarra converted guitar sell 17,000 fundraiser hold benefit victim anti - personnel mine exhibit united nations conference disarmament 169"
64,mexico ak-47 know cuerno chivo literally goat horn curve magazine design weapon choice mexican drug cartel mention mexican folk music lyric 170
65,map current ak user
66,ak-47 type 1 2 display type 1 feature stamp receiver type 2 receiver mill
67,u.s . army m.p inspect chinese ak-47 recover vietnam 1968
68,ak-47 paigc liberation movement ready transport senegal guinea bissau 1973
69,soviet spetsnaz special operation group prepare mission afghanistan 1988
70,soviet afghan war 1980 source simultaneously armed side afghan conflict fill country ak-47s derivative 171
